marca,nombre,sku,precio_online,precio_regular
SONY,Consola PlayStation 5 Slim Standard Edition Bundle 1TB SSD,132273,2499.0,2799.0
SONY,Consola PlayStation 5 Slim Digital Edition Bundle 1TB SSD,132275,2159.0,2449.0
NINTENDO,Consola Nintendo Switch 2 256GB,136304,2499.0,2599.0
NINTENDO,Consola Nintendo Switch OLED 64GB Blanca,130612,1459.0,1999.0
MICROSOFT,Consola Xbox Series X 1TB,127625,2699.0,3299.0
NINTENDO,Consola Nintendo Switch OLED Bundle Mario Kart 8,134691,1899.0,1899.0
SONY,Consola PlayStation 5 Pro 2TB,134545,3999.0,3999.0
NINTENDO,Consola Nintendo Switch Mario Kart 8 Deluxe Bundle 32GB,131406,1629.0,1629.0
NINTENDO,Consola Nintendo Switch OLED Bundle Super Mario Bros. Wonder,134746,1899.0,1899.0
ASUS,"Consola Asus ROG Ally X 7"" AMD Ryzen Z1 Extreme 1TB SSD 24GB RAM",134110,3399.0,3799.0
